,ruck_num,which_side,shoot_position,time_log,x,y,group_num,num_of_groups,lamp_num,num_of_lamps,r,degree
87,output,L,3,20201119111819,747.0,302.0,0,2,4,10,95.0,0.0
88,output,L,3,20201119111819,842.0,302.0,0,2,5,10,203.00246303924493,0.2822429362708571
89,output,L,3,20201119111819,1045.0,303.0,0,2,6,10,100.0,0.0
90,output,L,3,20201119111819,1145.0,303.0,0,2,7,10,97.02061636580135,1.181188913326638
91,output,L,3,20201119111819,1242.0,305.0,0,2,8,10,237.35627229968034,-3.1396601478202646
92,output,L,3,20201119111819,1479.0,292.0,0,2,9,10,0,0
93,output,L,3,20201119111819,343.0,760.0,1,2,0,9,69.46221994724903,6.613460482314756
94,output,L,3,20201119111819,412.0,768.0,1,2,1,9,76.23647421018367,4.513988458001263
95,output,L,3,20201119111819,488.0,774.0,1,2,2,9,169.42549985170473,4.06152267731057
96,output,L,3,20201119111819,657.0,786.0,1,2,3,9,87.28115489611719,4.60009566626328
97,output,L,3,20201119111819,744.0,793.0,1,2,4,9,91.0494371207203,1.8881880067409305
98,output,L,3,20201119111819,835.0,796.0,1,2,5,9,193.1657319505714,2.3735958022366583
99,output,L,3,20201119111819,1028.0,804.0,1,2,6,9,183.0027322200409,0.31308857502065557
100,output,L,3,20201119111819,1211.0,805.0,1,2,7,9,213.3377603707323,3.2245226065199075
101,output,L,3,20201119111819,1424.0,817.0,1,2,8,9,0,0
102,output,L,4,20201119111921,333.0,488.0,0,1,0,10,74.0,0.0
103,output,L,4,20201119111921,407.0,488.0,0,1,1,10,76.00657866263946,-0.7538483330707672
104,output,L,4,20201119111921,483.0,487.0,0,1,2,10,175.0028571195339,-0.32740089084438817
105,output,L,4,20201119111921,658.0,486.0,0,1,3,10,93.0,0.0
106,output,L,4,20201119111921,751.0,486.0,0,1,4,10,96.00520819205592,0.5968094512291772
107,output,L,4,20201119111921,847.0,487.0,0,1,5,10,200.02249873451737,0.8593722436446809
108,output,L,4,20201119111921,1047.0,490.0,0,1,6,10,99.02019995940222,1.1573330681295173
109,output,L,4,20201119111921,1146.0,492.0,0,1,7,10,95.00526301210897,0.6030911943805325
110,output,L,4,20201119111921,1241.0,493.0,0,1,8,10,213.00234740490538,0.2689922936964811
111,output,L,4,20201119111921,1454.0,494.0,0,1,9,10,0,0
112,output,R,0,20201119111513,195.0,177.0,0,2,0,3,952.7670229389764,3.4900569144266798
113,output,R,0,20201119111513,1146.0,235.0,0,2,1,3,40.11234224026316,4.289153328819018
114,output,R,0,20201119111513,1186.0,238.0,0,2,2,3,0,0
115,output,R,0,20201119111513,147.0,683.0,1,2,0,3,956.6044114470725,2.03685751820031
116,output,R,0,20201119111513,1103.0,717.0,1,2,1,3,37.12142238654117,-4.635463426902643
117,output,R,0,20201119111513,1140.0,714.0,1,2,2,3,0,0
118,output,R,1,20201119111615,123.0,379.0,0,2,0,4,103.04368005850722,1.6683374482933075
119,output,R,1,20201119111615,226.0,382.0,0,2,1,4,912.2636680258619,3.016088522760841
120,output,R,1,20201119111615,1137.0,430.0,0,2,2,4,36.013886210738214,-1.5911402711945872
121,output,R,1,20201119111615,1173.0,429.0,0,2,3,4,0,0
122,output,R,1,20201119111615,171.0,854.0,1,2,0,4,90.0222194794152,-1.2730300200567113
123,output,R,1,20201119111615,261.0,852.0,1,2,1,4,831.4385124589792,1.8609410660130246
124,output,R,1,20201119111615,1092.0,879.0,1,2,2,4,35.35533905932738,-8.13010235415598
125,output,R,1,20201119111615,1127.0,874.0,1,2,3,4,0,0
126,output,R,2,20201119111717,1173.0,100.0,0,3,0,2,41.048751503547585,2.792702365713283
127,output,R,2,20201119111717,1214.0,102.0,0,3,1,2,0,0
128,output,R,2,20201119111717,150.0,568.0,1,3,0,4,97.02061636580135,1.181188913326638
129,output,R,2,20201119111717,247.0,570.0,1,3,1,4,879.7368924854749,2.3452741199045297
130,output,R,2,20201119111717,1126.0,606.0,1,3,2,4,34.058772731852805,-3.3664606634298013
131,output,R,2,20201119111717,1160.0,604.0,1,3,3,4,0,0
132,output,R,2,20201119111717,186.0,1013.0,2,3,0,4,90.0222194794152,-1.2730300200567113
133,output,R,2,20201119111717,276.0,1011.0,2,3,1,4,806.1395660802167,1.0661755483548483
134,output,R,2,20201119111717,1082.0,1026.0,2,3,2,4,36.345563690772494,-7.907162702958458
135,output,R,2,20201119111717,1118.0,1021.0,2,3,3,4,0,0
136,output,R,3,20201119111819,116.0,240.0,0,2,0,4,105.17128885774862,3.2704879231835653
137,output,R,3,20201119111819,221.0,246.0,0,2,1,4,941.7266057619908,3.4700695550401446
138,output,R,3,20201119111819,1161.0,303.0,0,2,2,4,41.048751503547585,2.792702365713283
139,output,R,3,20201119111819,1202.0,305.0,0,2,3,4,0,0
140,output,R,3,20201119111819,176.0,738.0,1,2,0,5,94.00531899844816,-0.6095065766751959
141,output,R,3,20201119111819,270.0,737.0,1,2,1,5,83.05419917138447,2.070030653041098
142,output,R,3,20201119111819,353.0,740.0,1,2,2,5,760.6733858891081,2.4110297466112307
143,output,R,3,20201119111819,1113.0,772.0,1,2,3,5,34.36568055487916,-8.36588612403259
144,output,R,3,20201119111819,1147.0,767.0,1,2,4,5,0,0
145,output,R,4,20201119111921,155.0,445.0,0,1,0,4,97.02061636580135,1.181188913326638
146,output,R,4,20201119111921,252.0,447.0,0,1,1,4,899.1774018512698,2.9324100312903916
147,output,R,4,20201119111921,1150.0,493.0,0,1,2,4,36.013886210738214,1.5911402711945872
148,output,R,4,20201119111921,1186.0,494.0,0,1,3,4,0,0
