,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,nor_x,nor_y,nor_r,nor_degree,nor_color,nor_LF,cur_x,cur_y,cur_r,cur_degree,cur_color,cur_LF,result
45,output,L,2,20201119111717,0,3,6,9,1070.0,110.0,84.29116205154607,-4.763641690726178,green,F,1070.0,112.0,10000.0,10000.0,green,L,Error
46,output,L,2,20201119111717,0,3,7,9,1154.0,103.0,116.21101496846155,3.4533162505310924,green,F,1154.0,105.0,84.29116205154607,-4.763641690726178,green,L,Error
47,output,L,2,20201119111717,0,3,8,9,1270.0,110.0,0.0,0.0,green,F,1260.0,98.0,106.23088063270491,-3.778197707161587,green,F,N
48,output,L,2,20201119111717,1,3,0,10,329.0,599.0,73.17103251970687,3.918248864067377,green,L,328,600,73.17103251970687,3.918248864067377,green,L,N
49,output,L,2,20201119111717,1,3,1,10,402.0,604.0,71.11258679024411,3.2245226065199075,green,F,402,605,74.16872656315464,3.865461169851747,green,L,Error
50,output,L,2,20201119111717,1,3,2,10,473.0,608.0,176.0454486773231,1.3019526725788753,green,F,473,609,71.11258679024411,3.2245226065199075,green,L,Error
51,output,L,2,20201119111717,1,3,3,10,649.0,612.0,91.0494371207203,1.8881880067409305,green,F,648,612,175.025712396779,0.982117163224188,green,F,N
52,output,L,2,20201119111717,1,3,4,10,740.0,615.0,93.04837451562494,1.847610265994596,green,F,739,616,91.08786966440702,2.5168756569395163,green,F,N
53,output,L,2,20201119111717,1,3,5,10,833.0,618.0,200.0624902374256,1.4320961841646465,green,F,832,619,93.04837451562494,1.8476102659945959,green,F,N
54,output,L,2,20201119111717,1,3,6,10,1033.0,623.0,97.02061636580136,1.181188913326638,green,F,1033,624,201.06217943710845,1.424974272515424,green,F,N
55,output,L,2,20201119111717,1,3,7,10,1130.0,625.0,97.0051545022222,0.590657214646671,green,F,1130,626,97.02061636580135,1.181188913326638,green,F,N
56,output,L,2,20201119111717,1,3,8,10,1227.0,626.0,204.02205763103169,0.8425242607404145,green,F,1227,627,97.0051545022222,0.590657214646671,green,L,Error
57,output,L,2,20201119111717,1,3,9,10,1431.0,629.0,0.0,0.0,green,F,1430,630,203.0221662774782,0.8466740238615051,green,F,N
58,output,L,2,20201119111717,2,3,0,9,356.0,1006.0,74.16872656315464,3.865461169851747,green,L,355.0,1007.0,74.16872656315464,3.865461169851747,green,F,Error
59,output,L,2,20201119111717,2,3,1,9,430.0,1011.0,71.19691004531025,10.520784313874362,green,L,429.0,1012.0,74.16872656315464,3.865461169851747,green,F,Error
60,output,L,2,20201119111717,2,3,2,9,500.0,1024.0,158.91192529196795,6.141110616876805,green,L,499.0,1025.0,71.19691004531025,10.520784313874362,green,F,Error
61,output,L,2,20201119111717,2,3,3,9,658.0,1041.0,92.43916918709296,5.5872439642043465,green,L,657.0,1042.0,10000.0,10000.0,green,F,Error
62,output,L,2,20201119111717,2,3,4,9,750.0,1050.0,82.46211251235322,-14.03624346792648,green,L,749.0,1051.0,10000.0,10000.0,green,F,Error
63,output,L,2,20201119111717,2,3,5,9,830.0,1030.0,178.53851125177448,12.946509515636931,green,L,829.0,1031.0,10000.0,10000.0,green,F,Error
64,output,L,2,20201119111717,2,3,6,9,1004.0,1070.0,91.35097153287424,5.024075258539548,green,L,1003.0,1071.0,178.53851125177448,12.946509515636931,green,F,Error
65,output,L,2,20201119111717,2,3,7,9,1095.0,1078.0,89.00561780022652,0.6437457141753808,green,L,1095.0,1078.0,92.26592003551474,4.351077951573885,green,F,Error
66,output,L,2,20201119111717,2,3,8,9,1184.0,1079.0,0.0,0.0,green,L,1184.0,1080.0,89.02246907382428,1.2873289415250384,green,F,Error
67,output,L,3,20201119111819,0,2,0,10,322.0,323.0,80.05623023850174,-2.147585428298503,green,L,322,324,80.05623023850174,-2.147585428298503,green,F,Error
68,output,L,3,20201119111819,0,2,1,10,402.0,320.0,74.33034373659252,-5.403791360249714,green,L,402,321,80.05623023850174,-2.147585428298503,green,L,N
69,output,L,3,20201119111819,0,2,2,10,476.0,313.0,177.18069872308325,-2.587878507405314,green,L,476,314,74.33034373659252,-5.403791360249714,green,L,N
70,output,L,3,20201119111819,0,2,3,10,653.0,305.0,94.04786015641186,-1.827968244305005,green,L,653,305,177.22866585290316,-2.9108378261677537,green,F,Error
71,output,L,3,20201119111819,0,2,4,10,747.0,302.0,95.0,0.0,green,L,747,302,94.04786015641186,-1.827968244305005,green,L,N
72,output,L,3,20201119111819,0,2,5,10,842.0,302.0,203.00246303924493,0.2822429362708571,green,L,842,303,95.00526301210897,0.6030911943805325,green,F,Error
73,output,L,3,20201119111819,0,2,6,10,1045.0,303.0,100.0,0.0,green,L,1044,304,202.00247523235947,0.2836401557578161,green,L,N
74,output,L,3,20201119111819,0,2,7,10,1145.0,303.0,97.02061636580136,1.181188913326638,green,L,1145,304,101.0,0.0,green,L,N
75,output,L,3,20201119111819,0,2,8,10,1242.0,305.0,237.35627229968037,-3.1396601478202646,green,L,1242,305,97.0051545022222,0.590657214646671,green,L,N
76,output,L,3,20201119111819,0,2,9,10,1479.0,292.0,0.0,0.0,green,L,1477,294,235.25730594393875,-2.6799739401079403,green,L,N
77,output,L,3,20201119111819,1,2,0,9,343.0,760.0,69.46221994724903,6.613460482314756,green,F,343,761,69.46221994724903,6.613460482314756,green,F,N
78,output,L,3,20201119111819,1,2,1,9,412.0,768.0,76.23647421018367,4.513988458001263,green,F,411,769,68.46897107449476,6.7098368077569335,green,F,N
79,output,L,3,20201119111819,1,2,2,9,488.0,774.0,169.42549985170473,4.06152267731057,green,F,488,774,77.1621668954417,3.7152891054287687,green,F,N
80,output,L,3,20201119111819,1,2,3,9,657.0,786.0,87.28115489611719,4.60009566626328,green,F,656,787,168.50222550459088,4.4247844517439665,green,F,N
81,output,L,3,20201119111819,1,2,4,9,744.0,793.0,91.0494371207203,1.8881880067409305,green,F,743,794,87.28115489611719,4.60009566626328,green,F,N
82,output,L,3,20201119111819,1,2,5,9,835.0,796.0,193.1657319505714,2.3735958022366583,green,L,835,797,92.04890004774636,1.8676788394341723,green,F,Error
83,output,L,3,20201119111819,1,2,6,9,1028.0,804.0,183.0027322200409,0.3130885750206555,green,F,1028,805,193.1657319505714,2.3735958022366583,green,F,N
84,output,L,3,20201119111819,1,2,7,9,1211.0,805.0,213.3377603707323,3.2245226065199075,green,L,1211,806,183.0027322200409,0.31308857502065557,green,F,Error
85,output,L,3,20201119111819,1,2,8,9,1424.0,817.0,0.0,0.0,green,F,1423,817,212.2851855405836,2.9702306071965188,green,F,N
86,output,L,4,20201119111921,0,1,0,10,333.0,488.0,74.0,0.0,green,L,333,489,74.0,0.0,green,F,Error
87,output,L,4,20201119111921,0,1,1,10,407.0,488.0,76.00657866263946,-0.7538483330707672,green,F,406,489,73.0,0.0,green,F,N
88,output,L,4,20201119111921,0,1,2,10,483.0,487.0,175.0028571195339,-0.3274008908443881,green,F,482,488,76.00657866263946,-0.7538483330707672,green,F,N
89,output,L,4,20201119111921,0,1,3,10,658.0,486.0,93.0,0.0,green,L,658,487,176.00284088616297,-0.3255406986592984,green,F,Error
90,output,L,4,20201119111921,0,1,4,10,751.0,486.0,96.00520819205592,0.5968094512291772,green,L,751,487,93.0,0.0,green,F,Error
91,output,L,4,20201119111921,0,1,5,10,847.0,487.0,200.02249873451737,0.8593722436446809,green,L,847,488,96.00520819205592,0.5968094512291772,green,L,N
92,output,L,4,20201119111921,0,1,6,10,1047.0,490.0,99.02019995940222,1.1573330681295173,green,L,1047,491,200.02249873451737,0.8593722436446809,green,F,Error
93,output,L,4,20201119111921,0,1,7,10,1146.0,492.0,95.00526301210895,0.6030911943805325,green,F,1146,493,99.02019995940222,1.1573330681295173,green,L,Error
94,output,L,4,20201119111921,0,1,8,10,1241.0,493.0,213.00234740490535,0.2689922936964811,green,L,1241,494,95.00526301210897,0.6030911943805325,green,F,Error
95,output,L,4,20201119111921,0,1,9,10,1454.0,494.0,0.0,0.0,green,F,1455,495,214.0023364358436,0.2677353387022093,green,F,N
96,output,R,0,20201119111513,0,2,0,3,195.0,177.0,952.7670229389764,3.49005691442668,green,F,-,-,-,-,-,-,Error
97,output,R,0,20201119111513,0,2,1,3,1146.0,235.0,40.11234224026316,4.289153328819018,green,L,-,-,-,-,-,-,Error
98,output,R,0,20201119111513,0,2,2,3,1186.0,238.0,0.0,0.0,green,L,-,-,-,-,-,-,Error
99,output,R,0,20201119111513,1,2,0,4,147.0,683.0,93.0,0.0,green,F,148,682,93.0,0.0,green,F,N
100,output,R,0,20201119111513,1,2,1,4,240.0,683.0,863.6694969720767,2.256140837964043,green,F,241,682,93.0,0.0,green,F,N
101,output,R,0,20201119111513,1,2,2,4,1103.0,717.0,37.12142238654117,-4.635463426902643,green,L,1104,716,863.6694969720767,2.256140837964043,green,L,N
102,output,R,0,20201119111513,1,2,3,4,1140.0,714.0,0.0,0.0,green,L,1140,713,36.124783736376884,-4.763641690726178,green,L,N
103,output,R,1,20201119111615,0,2,0,4,123.0,379.0,103.04368005850722,1.6683374482933075,green,L,126,379,103.04368005850722,1.6683374482933075,green,F,Error
104,output,R,1,20201119111615,0,2,1,4,226.0,382.0,912.263668025862,3.016088522760841,green,L,226,381,100.0199980003999,1.1457628381751033,green,F,Error
105,output,R,1,20201119111615,0,2,2,4,1137.0,430.0,36.013886210738214,-1.5911402711945872,green,L,1137,429,912.2636680258619,3.016088522760841,green,L,N
106,output,R,1,20201119111615,0,2,3,4,1173.0,429.0,0.0,0.0,green,L,1173,429,36.0,0.0,green,L,N
107,output,R,1,20201119111615,1,2,0,4,171.0,854.0,90.0222194794152,-1.2730300200567113,green,F,170,853,90.0222194794152,-1.2730300200567113,green,L,Error
108,output,R,1,20201119111615,1,2,1,4,261.0,852.0,831.4385124589792,1.8609410660130248,green,F,262,852,92.00543462209176,-0.6227556872063182,green,L,Error
109,output,R,1,20201119111615,1,2,2,4,1092.0,879.0,35.35533905932738,-8.13010235415598,green,L,1092,878,830.4071290638104,1.7942208301226208,green,L,N
