,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,num_of_lamps,x,y,r,degree,color,LF
83,output,L,3,20201119111819,1,2,6,9,1028,805,193.1657319505714,2.3735958022366583,green,F
84,output,L,3,20201119111819,1,2,7,9,1211,806,183.0027322200409,0.31308857502065557,green,F
85,output,L,3,20201119111819,1,2,8,9,1423,817,212.2851855405836,2.9702306071965188,green,F
86,output,L,4,20201119111921,0,1,0,10,333,489,74.0,0.0,green,F
87,output,L,4,20201119111921,0,1,1,10,406,489,73.0,0.0,green,F
88,output,L,4,20201119111921,0,1,2,10,482,488,76.00657866263946,-0.7538483330707672,green,F
89,output,L,4,20201119111921,0,1,3,10,658,487,176.00284088616297,-0.3255406986592984,green,F
90,output,L,4,20201119111921,0,1,4,10,751,487,93.0,0.0,green,F
91,output,L,4,20201119111921,0,1,5,10,847,488,96.00520819205592,0.5968094512291772,green,L
92,output,L,4,20201119111921,0,1,6,10,1047,491,200.02249873451737,0.8593722436446809,green,F
93,output,L,4,20201119111921,0,1,7,10,1146,493,99.02019995940222,1.1573330681295173,green,L
94,output,L,4,20201119111921,0,1,8,10,1241,494,95.00526301210897,0.6030911943805325,green,F
95,output,L,4,20201119111921,0,1,9,10,1455,495,214.0023364358436,0.2677353387022093,green,F
96,output,R,0,20201119111513,0,2,0,3,-,-,-,-,-,-
97,output,R,0,20201119111513,0,2,1,3,-,-,-,-,-,-
98,output,R,0,20201119111513,0,2,2,3,-,-,-,-,-,-
99,output,R,0,20201119111513,1,2,0,4,148,682,93.0,0.0,green,F
100,output,R,0,20201119111513,1,2,1,4,241,682,93.0,0.0,green,F
101,output,R,0,20201119111513,1,2,2,4,1104,716,863.6694969720767,2.256140837964043,green,L
102,output,R,0,20201119111513,1,2,3,4,1140,713,36.124783736376884,-4.763641690726178,green,L
103,output,R,1,20201119111615,0,2,0,4,126,379,103.04368005850722,1.6683374482933075,green,F
104,output,R,1,20201119111615,0,2,1,4,226,381,100.0199980003999,1.1457628381751033,green,F
105,output,R,1,20201119111615,0,2,2,4,1137,429,912.2636680258619,3.016088522760841,green,L
106,output,R,1,20201119111615,0,2,3,4,1173,429,36.0,0.0,green,L
107,output,R,1,20201119111615,1,2,0,4,170,853,90.0222194794152,-1.2730300200567113,green,L
108,output,R,1,20201119111615,1,2,1,4,262,852,92.00543462209176,-0.6227556872063182,green,L
109,output,R,1,20201119111615,1,2,2,4,1092,878,830.4071290638104,1.7942208301226208,green,L
110,output,R,1,20201119111615,1,2,3,4,1127,873,35.35533905932738,-8.13010235415598,green,L
111,output,R,2,20201119111717,0,2,0,4,150,568,97.02061636580136,1.181188913326638,green,F
112,output,R,2,20201119111717,0,2,1,4,247,569,97.0051545022222,0.590657214646671,green,L
113,output,R,2,20201119111717,0,2,2,4,1126,606,879.7783811847163,2.4103448246178734,green,L
114,output,R,2,20201119111717,0,2,3,4,1160,604,34.058772731852805,-3.3664606634298013,green,L
115,output,R,2,20201119111717,1,2,0,4,186,1013,90.0222194794152,-1.2730300200567113,green,F
116,output,R,2,20201119111717,1,2,1,4,276,1010,90.0499861188218,-1.9091524329963763,green,F
117,output,R,2,20201119111717,1,2,2,4,1081,1026,805.1589905105699,1.1386481782612063,green,L
118,output,R,2,20201119111717,1,2,3,4,1118,1021,37.33630940518894,-7.696051722016569,green,L
119,output,R,3,20201119111819,0,2,0,4,114,239,105.17128885774862,3.2704879231835653,green,L
120,output,R,3,20201119111819,0,2,1,4,221,246,107.22872749408155,3.7429882956871343,green,F
121,output,R,3,20201119111819,0,2,2,4,1161,302,941.6666076696147,3.4093360204901466,green,L
122,output,R,3,20201119111819,0,2,3,4,1201,304,40.049968789001575,2.8624052261117474,green,L
123,output,R,3,20201119111819,1,2,0,5,176,738,94.00531899844816,-0.6095065766751959,green,F
124,output,R,3,20201119111819,1,2,1,5,269,737,93.00537618869137,-0.6160599083992302,green,F
125,output,R,3,20201119111819,1,2,2,5,353,740,84.0535543567314,2.0454084888872277,green,F
126,output,R,3,20201119111819,1,2,3,5,1113,772,760.6733858891081,2.4110297466112307,green,L
127,output,R,3,20201119111819,1,2,4,5,1147,767,34.36568055487916,-8.36588612403259,green,L
128,output,R,4,20201119111921,0,1,0,4,156,445,97.02061636580136,1.181188913326638,green,F
129,output,R,4,20201119111921,0,1,1,4,252,447,96.02083107326243,1.193489423982035,green,L
130,output,R,4,20201119111921,0,1,2,4,1150,493,899.1774018512698,2.9324100312903916,green,L
131,output,R,4,20201119111921,0,1,3,4,1186,494,36.013886210738214,1.5911402711945872,green,L
