,ruck_num,which_side,shoot_position,time_log,x,y,group_num,num_of_groups,lamp_num,num_of_lamps,r,degree
115,output,R,2,20201119111717,1160,604,1,4,3,4,0,0
116,output,R,2,20201119111717,186,1013,2,4,0,3,896.0943030730639,0.8312420476938517
117,output,R,2,20201119111717,1082,1026,2,4,1,3,36.345563690772494,-7.907162702958458
118,output,R,2,20201119111717,1118,1021,2,4,2,3,0,0
119,output,R,2,20201119111717,276,1011,3,4,0,1,0,0
120,output,R,3,20201119111819,116,240,0,3,0,4,105.17128885774862,3.2704879231835653
121,output,R,3,20201119111819,221,246,0,3,1,4,941.7266057619908,3.4700695550401446
122,output,R,3,20201119111819,1161,303,0,3,2,4,41.048751503547585,2.792702365713283
123,output,R,3,20201119111819,1202,305,0,3,3,4,0,0
124,output,R,3,20201119111819,176,738,1,3,0,4,177.01129907438113,0.6473823869418766
125,output,R,3,20201119111819,353,740,1,3,1,4,760.6733858891081,2.4110297466112307
126,output,R,3,20201119111819,1113,772,1,3,2,4,34.36568055487916,-8.36588612403259
127,output,R,3,20201119111819,1147,767,1,3,3,4,0,0
128,output,R,3,20201119111819,270,737,2,3,0,1,0,0
129,output,R,4,20201119111921,155,445,0,1,0,4,97.02061636580135,1.181188913326638
130,output,R,4,20201119111921,252,447,0,1,1,4,899.1774018512698,2.9324100312903916
131,output,R,4,20201119111921,1150,493,0,1,2,4,36.013886210738214,1.5911402711945872
132,output,R,4,20201119111921,1186,494,0,1,3,4,0,0
